return-period,upper,lower
877,99.4610749040567,83.66036752403451
878,99.47399179121975,83.6711283602242
879,99.48689324597593,83.68187591602639
880,99.4997793042983,83.69261022291998
881,99.51265000203301,83.7033313122718
882,99.52550537490721,83.71403921534304
883,99.53834545851947,83.72473396328137
884,99.5511702883498,83.73541558712934
885,99.56397989975332,83.7460841178191
886,99.57677432796278,83.75673958617456
887,99.58955360809199,83.76738202291435
888,99.60231777513194,83.77801145864841
889,99.61506686395641,83.78862792388293
890,99.62780090931453,83.79923144901407
891,99.64051994584244,83.80982206433768
892,99.6532240080533,83.82039980004112
893,99.66591313034237,83.83096468620737
894,99.67858734699162,83.84151675281908
895,99.69124669216133,83.85205602975147
896,99.7038911998994,83.86258254678009
897,99.71652090413379,83.87309633357474
898,99.7291358386798,83.88359741970538
899,99.74173603723708,83.89408583463975
900,99.75432153339348,83.90456160774661
901,99.76689236061756,83.91502476828944
902,99.77944855227035,83.92547534543644
903,99.79199014159683,83.9359133682533
904,99.80451716172975,83.94633886570652
905,99.81702964569247,83.95675186666574
906,99.82952762639492,83.96715239990036
907,99.84201113663629,83.97754049408204
908,99.85448020910806,83.98791617778689
909,99.86693487638749,83.99827947949042
910,99.87937517094632,84.00863042757462
911,99.89180112514671,84.01896905032464
912,99.90421277124071,84.02929537592838
913,99.9166101413754,84.0396094324809
914,99.92899326758896,84.049911247981
915,99.94136218181131,84.06020085033188
916,99.95371691586926,84.07047826734545
917,99.96605750148026,84.0807435267372
918,99.97838397025893,84.09099665613154
919,99.99069635371299,84.10123768305854
920,100.00299468324637,84.11146663495651
921,100.01527899016084,84.12168353917343
922,100.02754930565123,84.13188842296289
923,100.0398056608105,84.14208131348848
924,100.05204808662954,84.15226223782348
925,100.06427661399762,84.16243122295145
926,100.07649127369999,84.17258829576416
927,100.08869209642071,84.1827334830639
928,100.10087911274586,84.1928668115663
929,100.11305235315838,84.20298830789608
930,100.12521184804143,84.21309799858969
931,100.13735762768006,84.22319591009693
932,100.1494897222576,84.23328206877784
933,100.161608161861,84.24335650090724
934,100.173712976477,84.25341923267155
935,100.18580419599664,84.26347029017249
936,100.1978818502124,84.27350969942485
937,100.20994596881908,84.28353748635725
938,100.2219965814149,84.2935536768129
939,100.23403371750209,84.3035582965503
940,100.24605740648913,84.3135513712451
941,100.25806767768694,84.32353292648682
942,100.27006456030973,84.33350298777978
943,100.28204808348185,84.34346158054866
944,100.29401827622813,84.35340873013061
945,100.30597516748544,84.36334446178475
946,100.31791878609297,84.37326880068426
947,100.32984916079798,84.38318177192106
948,100.34176632025557,84.39308340050574
949,100.35367029302964,84.40297371136832
950,100.36556110758913,84.4128527293552
951,100.3774387923163,84.4227204792359
952,100.38930337549796,84.4325769856961
953,100.40115488533267,84.44242227334338
954,100.41299334992931,84.45225636670615
955,100.42481879730452,84.46207929023159
956,100.4366312553874,84.47189106828944
957,100.4484307520181,84.48169172517098
958,100.46021731494659,84.49148128508804
959,100.47199097183601,84.5012597721757
960,100.48375175026025,84.5110272104904
961,100.49549967770753,84.52078362401281
962,100.50723478157771,84.53052903664579
963,100.51895708918232,84.54026347221432
964,100.53066662774808,84.54998695446845
965,100.54236342441564,84.55969950708231
966,100.55404750624068,84.56940115365505
967,100.56571890019147,84.57909191770881
968,100.57737763315247,84.5887718226917
969,100.58902373192177,84.59844089197581
970,100.60065722321733,84.60809914886227
971,100.61227813366818,84.61774661657402
972,100.62388648982318,84.62738331826317
973,100.6354823181459,84.63700927700668
974,100.64706564501726,84.64662451580864
975,100.6586364967366,84.65622905760111
976,100.67019489952189,84.6658229252443
977,100.68174087950581,84.67540614152351
978,100.69327446274211,84.68497872915422
979,100.70479567520313,84.69454071078013
980,100.71630454277985,84.70409210897327
981,100.7278010912819,84.71363294623396
982,100.73928534644138,84.72316324499403
983,100.75075733390545,84.7326830276107
984,100.76221707924879,84.74219231637692
985,100.77366460796009,84.75169113351016
986,100.78509994545205,84.76117950116077
987,100.79652311706134,84.77065744141196
988,100.80793414804025,84.78012497627286
989,100.81933306357023,84.78958212768978
990,100.83071988874848,84.79902891753514
991,100.84209464860044,84.8084653676178
992,100.85345736806991,84.81789149967499
